sen	Polarity	Sentence
neu	0.549	I thought it will be a problem , but now when I got the phone I ' m perfectly fine with it .
pos	0.366	I thought it will be a problem , but now when I got the phone I ' m perfectly fine with it .
compound	-0.296	There is no card .
neg	0.423	There is no card .
neu	0.577	There is no card .
neu	1.0	of the memory is used by the system .
compound	0.3818	As a gallery you have , which your can be saved on the cloud , so if you are short on storage , you can delete from the device and leave them on the cloud that way you can only see them when you have connection .
neg	0.027	As a gallery you have , which your can be saved on the cloud , so if you are short on storage , you can delete from the device and leave them on the cloud that way you can only see them when you have connection .
neu	0.909	As a gallery you have , which your can be saved on the cloud , so if you are short on storage , you can delete from the device and leave them on the cloud that way you can only see them when you have connection .
pos	0.064	As a gallery you have , which your can be saved on the cloud , so if you are short on storage , you can delete from the device and leave them on the cloud that way you can only see them when you have connection .
compound	-0.144	Verdict : This phone should be enough for everyone , especially for non demanding .
neg	0.157	Verdict : This phone should be enough for everyone , especially for non demanding .
neu	0.727	Verdict : This phone should be enough for everyone , especially for non demanding .
pos	0.116	Verdict : This phone should be enough for everyone , especially for non demanding .
compound	0.765	If it had a better battery , it would be a perfect phone .
neu	0.548	If it had a better battery , it would be a perfect phone .
pos	0.452	If it had a better battery , it would be a perfect phone .
compound	0.6124	Clean android and android one program are a huge + to this device .
neu	0.643	Clean android and android one program are a huge + to this device .
pos	0.357	Clean android and android one program are a huge + to this device .
compound	0.6597	: battery , a little dimmer display : everything else is great If you want me to write down my latest experience , reply this comment so I get notified .
neu	0.803	: battery , a little dimmer display : everything else is great If you want me to write down my latest experience , reply this comment so I get notified .
pos	0.197	: battery , a little dimmer display : everything else is great If you want me to write down my latest experience , reply this comment so I get notified .
neu	1.0	How many of Lew ' s are him holding a phone in the same angle ?
compound	0.0644	Mi A is a crazy good deal , but F is an even deal .
neg	0.146	Mi A is a crazy good deal , but F is an even deal .
neu	0.687	Mi A is a crazy good deal , but F is an even deal .
pos	0.167	Mi A is a crazy good deal , but F is an even deal .
compound	-0.3182	I thought this could be my next phone until you the lack of a .
neg	0.173	I thought this could be my next phone until you the lack of a .
neu	0.827	I thought this could be my next phone until you the lack of a .
compound	0.4939	I bought the / version and after a month of usage I ' m amazed at the quality for the price of the phone .
neu	0.842	I bought the / version and after a month of usage I ' m amazed at the quality for the price of the phone .
pos	0.158	I bought the / version and after a month of usage I ' m amazed at the quality for the price of the phone .
compound	0.4867	The lack of the headphone jack is not the biggest problem , I got used to it pretty quickly .
neg	0.106	The lack of the headphone jack is not the biggest problem , I got used to it pretty quickly .
neu	0.643	The lack of the headphone jack is not the biggest problem , I got used to it pretty quickly .
pos	0.251	The lack of the headphone jack is not the biggest problem , I got used to it pretty quickly .
compound	0.836	The camera is amazing , video stabilization is great and the dual are not + it ' s + .
neu	0.603	The camera is amazing , video stabilization is great and the dual are not + it ' s + .
pos	0.397	The camera is amazing , video stabilization is great and the dual are not + it ' s + .
compound	0.765	The phone is snappy and super quick and I ' definitely keep .
neu	0.548	The phone is snappy and super quick and I ' definitely keep .
pos	0.452	The phone is snappy and super quick and I ' definitely keep .
compound	-0.4389	It actually me when u slam the phone on the table 😐 I just got a mi A lite !
neg	0.162	It actually me when u slam the phone on the table 😐 I just got a mi A lite !
neu	0.838	It actually me when u slam the phone on the table 😐 I just got a mi A lite !
neu	1.0	When I say `` just got '' I mean today Hi people through the !
compound	0.296	Bless you and your family , and have a good week .😊😊 when your phone same amount of ram as your my ram mi a ram If can get Poco / Mi phone into the android one will destroy that market segment .
neg	0.079	Bless you and your family , and have a good week .😊😊 when your phone same amount of ram as your my ram mi a ram If can get Poco / Mi phone into the android one will destroy that market segment .
neu	0.792	Bless you and your family , and have a good week .😊😊 when your phone same amount of ram as your my ram mi a ram If can get Poco / Mi phone into the android one will destroy that market segment .
pos	0.129	Bless you and your family , and have a good week .😊😊 when your phone same amount of ram as your my ram mi a ram If can get Poco / Mi phone into the android one will destroy that market segment .
neu	1.0	Its + camera not + 😏 WORKS IN CANADA ON .
neu	1.0	I this phone off based on your review .
neu	1.0	I got the model with screen protector and case .
neu	1.0	Cost was with shipping and took about days to get .
neu	1.0	I ' used it for about days know .
compound	0.729	What a GREAT phone !
neu	0.281	What a GREAT phone !
pos	0.719	What a GREAT phone !
neu	1.0	It was shipped with Android .
neu	1.0	Within the first week it was the Android Pie update .
compound	0.836	The are great and take amazing .
neu	0.336	The are great and take amazing .
pos	0.664	The are great and take amazing .
compound	0.6588	The Android One experience is awesome !
neu	0.532	The Android One experience is awesome !
pos	0.468	The Android One experience is awesome !
compound	0.5859	My first experience with was with the Mi Band fitness tracker smart watch .
neu	0.696	My first experience with was with the Mi Band fitness tracker smart watch .
pos	0.304	My first experience with was with the Mi Band fitness tracker smart watch .
neu	1.0	Cost was around and did everything and more than a .
compound	0.5859	Then to the Mi Band fitness tracker smart watch which a few more than the Mi Band and is waterproof .
neu	0.78	Then to the Mi Band fitness tracker smart watch which a few more than the Mi Band and is waterproof .
pos	0.22	Then to the Mi Band fitness tracker smart watch which a few more than the Mi Band and is waterproof .
neu	1.0	Cost was about .
compound	-0.296	No with either .
neg	0.524	No with either .
neu	0.476	No with either .
neu	1.0	From what I can tell doesnt make or junk .
neu	1.0	They make their own .
compound	-0.4449	Not sure why the dont expand their to the North Market .
neg	0.304	Not sure why the dont expand their to the North Market .
neu	0.696	Not sure why the dont expand their to the North Market .
compound	0.3802	Please do a review of the note !
neu	0.659	Please do a review of the note !
pos	0.341	Please do a review of the note !
compound	0.5244	Its really popular here in !
neu	0.542	Its really popular here in !
pos	0.458	Its really popular here in !
neu	1.0	Mi A is also on and you do n ' t have to wait half a year to get it .
neu	1.0	: `` Holy '' Huh ...
neu	1.0	I still do n ' t understand why release .
compound	0.5773	Wont that kill their A and note series ?
neu	0.616	Wont that kill their A and note series ?
pos	0.384	Wont that kill their A and note series ?
neu	1.0	Something me that will overtake apple eventually .
neu	1.0	edit : in of not product quality I was almost completely sold on this one , until he a .
compound	0.4939	There goes my excitement ... extended ALL THE WAY .
neu	0.714	There goes my excitement ... extended ALL THE WAY .
pos	0.286	There goes my excitement ... extended ALL THE WAY .
compound	0.0258	is cool too No .
neg	0.338	is cool too No .
neu	0.308	is cool too No .
pos	0.354	is cool too No .
neu	1.0	brand in are their ..
compound	0.4404	The MI A LITE have some specs that are better than the MI A memory , bigger screen to body ratio , headphone jack , quick charge .
neu	0.879	The MI A LITE have some specs that are better than the MI A memory , bigger screen to body ratio , headphone jack , quick charge .
pos	0.121	The MI A LITE have some specs that are better than the MI A memory , bigger screen to body ratio , headphone jack , quick charge .
compound	0.7964	and battery but with a micro port and snapdragon and also the MI A have some better specs over the lite version .. Like type C , snapdragon ..
neu	0.764	and battery but with a micro port and snapdragon and also the MI A have some better specs over the lite version .. Like type C , snapdragon ..
pos	0.236	and battery but with a micro port and snapdragon and also the MI A have some better specs over the lite version .. Like type C , snapdragon ..
compound	0.5499	But does n ' t support quick charge .
neu	0.53	But does n ' t support quick charge .
pos	0.47	But does n ' t support quick charge .
compound	-0.6213	, jack .. also does n ' t have an memory and the battery is not so promising .. confused 😕 which one is better than the other ?
neg	0.25	, jack .. also does n ' t have an memory and the battery is not so promising .. confused 😕 which one is better than the other ?
neu	0.659	, jack .. also does n ' t have an memory and the battery is not so promising .. confused 😕 which one is better than the other ?
pos	0.091	, jack .. also does n ' t have an memory and the battery is not so promising .. confused 😕 which one is better than the other ?
compound	0.2023	make such good for such low .
neg	0.233	make such good for such low .
neu	0.444	make such good for such low .
pos	0.322	make such good for such low .
compound	0.3802	Next review please one power !
neu	0.607	Next review please one power !
pos	0.393	Next review please one power !
compound	0.4588	Sir I ' m watching this video on my mi a 😍 if you can get all this , why buy a + ?
neu	0.857	Sir I ' m watching this video on my mi a 😍 if you can get all this , why buy a + ?
pos	0.143	Sir I ' m watching this video on my mi a 😍 if you can get all this , why buy a + ?
compound	-0.4019	Apple are insane I for one live on .
neg	0.31	Apple are insane I for one live on .
neu	0.69	Apple are insane I for one live on .
compound	0.7717	It ' s like a mix between Android and user interface Have the Mi A now for about and must say it ' s by far the best phone i ' ever had Watching on Mi A 👍 dude said `` '' your .
neu	0.831	It ' s like a mix between Android and user interface Have the Mi A now for about and must say it ' s by far the best phone i ' ever had Watching on Mi A 👍 dude said `` '' your .
pos	0.169	It ' s like a mix between Android and user interface Have the Mi A now for about and must say it ' s by far the best phone i ' ever had Watching on Mi A 👍 dude said `` '' your .
compound	0.836	pretty sure the correct word is LIMITING still than 😂 and garbage 😂 Crazy how does n ' t make money selling .
neg	0.158	pretty sure the correct word is LIMITING still than 😂 and garbage 😂 Crazy how does n ' t make money selling .
neu	0.509	pretty sure the correct word is LIMITING still than 😂 and garbage 😂 Crazy how does n ' t make money selling .
pos	0.333	pretty sure the correct word is LIMITING still than 😂 and garbage 😂 Crazy how does n ' t make money selling .
neu	1.0	They earn by selling and cat fur .
compound	0.68	Finally the first world people are seeing that there are other rather Apple or Me right now : Welcome To The Third World Please do the Mi A Lite next !
neu	0.823	Finally the first world people are seeing that there are other rather Apple or Me right now : Welcome To The Third World Please do the Mi A Lite next !
pos	0.177	Finally the first world people are seeing that there are other rather Apple or Me right now : Welcome To The Third World Please do the Mi A Lite next !
compound	0.6249	Great , : Any on ' s G - line or ' s equivalent ?
neu	0.549	Great , : Any on ' s G - line or ' s equivalent ?
pos	0.451	Great , : Any on ' s G - line or ' s equivalent ?
neu	1.0	I have A & A but for Fi , I need to buy another , too expensive !
compound	0.296	Oh yeah now the offer is over and a new offer same Watching this on the Mi A .
neu	0.872	Oh yeah now the offer is over and a new offer same Watching this on the Mi A .
pos	0.128	Oh yeah now the offer is over and a new offer same Watching this on the Mi A .
compound	0.8375	It ' s a good daily driver , with of screen on time on Android .. Love how he into his beard every time he a Not + It ' s + It ' s crazy , because the A `` Lite '' version which is and supposed to be worse , at least where it ' s better than the regular `` A version '' .
neg	0.052	It ' s a good daily driver , with of screen on time on Android .. Love how he into his beard every time he a Not + It ' s + It ' s crazy , because the A `` Lite '' version which is and supposed to be worse , at least where it ' s better than the regular `` A version '' .
neu	0.744	It ' s a good daily driver , with of screen on time on Android .. Love how he into his beard every time he a Not + It ' s + It ' s crazy , because the A `` Lite '' version which is and supposed to be worse , at least where it ' s better than the regular `` A version '' .
pos	0.204	It ' s a good daily driver , with of screen on time on Android .. Love how he into his beard every time he a Not + It ' s + It ' s crazy , because the A `` Lite '' version which is and supposed to be worse , at least where it ' s better than the regular `` A version '' .
neu	1.0	the A Lite it a headphone jack the A does n ' t , it a card slot which the A does n ' t , it battery which the regular one so more , it a notch screen the regular one ' s regular screen and the Lite with higher resolution too .
compound	0.8122	I got this as a birthday present today , i already love this < Watching this video on my MI A I have lite version of this phone .. its really Good .
neu	0.757	I got this as a birthday present today , i already love this < Watching this video on my MI A I have lite version of this phone .. its really Good .
pos	0.243	I got this as a birthday present today , i already love this < Watching this video on my MI A I have lite version of this phone .. its really Good .
neu	1.0	Plus / X ?
compound	0.4939	pretty similar ... Just bought it .
neu	0.61	pretty similar ... Just bought it .
pos	0.39	pretty similar ... Just bought it .
compound	0.4926	thanks phone !
neu	0.239	thanks phone !
pos	0.761	thanks phone !
neu	1.0	channel is out .
neu	1.0	All the u ' do is outdated .
compound	-0.6468	BRING SO NEW AND BE ITS NOW I really hate Apple for starting the trend + !
neg	0.248	BRING SO NEW AND BE ITS NOW I really hate Apple for starting the trend + !
neu	0.752	BRING SO NEW AND BE ITS NOW I really hate Apple for starting the trend + !
compound	0.5927	Not `` + '' Lew But i think give much better experience of stock android I think u should try One power or .
neu	0.824	Not `` + '' Lew But i think give much better experience of stock android I think u should try One power or .
pos	0.176	Not `` + '' Lew But i think give much better experience of stock android I think u should try One power or .
neu	1.0	plus My Mi A RAM Storage on the way .
compound	0.4767	Was just nervous I was the best deal .
neg	0.186	Was just nervous I was the best deal .
neu	0.442	Was just nervous I was the best deal .
pos	0.372	Was just nervous I was the best deal .
neu	1.0	settled .
compound	0.3612	my arm just like you on the table .
neu	0.737	my arm just like you on the table .
pos	0.263	my arm just like you on the table .
compound	-0.4767	Now I have a swollen arm , a broken table and my is shouting from down below .
neg	0.205	Now I have a swollen arm , a broken table and my is shouting from down below .
neu	0.795	Now I have a swollen arm , a broken table and my is shouting from down below .
neu	1.0	But still , I shall still settle for the deal .
neu	1.0	A not working all the time to MI .
neu	1.0	from NEXUS P to MI A LITE ..
compound	0.3108	SATISFIED : C if only F had android one I know I can install but that ' s not the same Just ordered one , will keep me going until I can afford the P pro .
neu	0.917	SATISFIED : C if only F had android one I know I can install but that ' s not the same Just ordered one , will keep me going until I can afford the P pro .
pos	0.083	SATISFIED : C if only F had android one I know I can install but that ' s not the same Just ordered one , will keep me going until I can afford the P pro .
compound	-0.7783	is killing it 🔥 just bought Mi A / Global for my wife .
neg	0.43	is killing it 🔥 just bought Mi A / Global for my wife .
neu	0.57	is killing it 🔥 just bought Mi A / Global for my wife .
compound	0.6696	and she love it !
neu	0.4	and she love it !
pos	0.6	and she love it !
compound	0.4404	Get the mi A lite global version it is just good it ' s + camera .
neu	0.791	Get the mi A lite global version it is just good it ' s + camera .
pos	0.209	Get the mi A lite global version it is just good it ' s + camera .
compound	0.4835	more and dynamic range but one better low light .
neg	0.184	more and dynamic range but one better low light .
neu	0.416	more and dynamic range but one better low light .
pos	0.401	more and dynamic range but one better low light .
compound	0.3054	thanks But the Poco F is another level !
neu	0.728	thanks But the Poco F is another level !
pos	0.272	thanks But the Poco F is another level !
neu	1.0	These here ... ... People , there is actually only ONE reason , why you wan na buy a Mi A or A Lite .
neu	1.0	Thats `` stock android '' !
compound	0.9105	You just cant compare more expensive like or Honor Play with also way different and often very on top of Android with like the A !
neu	0.584	You just cant compare more expensive like or Honor Play with also way different and often very on top of Android with like the A !
pos	0.416	You just cant compare more expensive like or Honor Play with also way different and often very on top of Android with like the A !
compound	0.2718	If you want a phone with just clean and snappy stock feeling , for this price range you wont get a better phone .
neg	0.101	If you want a phone with just clean and snappy stock feeling , for this price range you wont get a better phone .
neu	0.669	If you want a phone with just clean and snappy stock feeling , for this price range you wont get a better phone .
pos	0.23	If you want a phone with just clean and snappy stock feeling , for this price range you wont get a better phone .
neu	1.0	Period !
compound	0.3182	Can you please do a review on Pro M ?
neu	0.723	Can you please do a review on Pro M ?
pos	0.277	Can you please do a review on Pro M ?
neu	1.0	The .
neu	1.0	plus !
compound	0.1531	🔥 Must check it out Watching this on my mi A 😍 I am watching this from my Mi A Gold version right now .
neg	0.088	🔥 Must check it out Watching this on my mi A 😍 I am watching this from my Mi A Gold version right now .
neu	0.803	🔥 Must check it out Watching this on my mi A 😍 I am watching this from my Mi A Gold version right now .
pos	0.109	🔥 Must check it out Watching this on my mi A 😍 I am watching this from my Mi A Gold version right now .
neu	1.0	Me and my call it budget .
compound	0.9231	The lite version of it is even better Thanks your video made me by mi a and I am loving device Please , please to an Soul X Pro presentation .
neu	0.595	The lite version of it is even better Thanks your video made me by mi a and I am loving device Please , please to an Soul X Pro presentation .
pos	0.405	The lite version of it is even better Thanks your video made me by mi a and I am loving device Please , please to an Soul X Pro presentation .
compound	0.5859	Watching this on Mi A the Phone is amazing Every MIGHT BE WATCHING this .
neu	0.759	Watching this on Mi A the Phone is amazing Every MIGHT BE WATCHING this .
pos	0.241	Watching this on Mi A the Phone is amazing Every MIGHT BE WATCHING this .
compound	0.6369	I ordered a Mi A Lite and have to say I love all of the .
neu	0.704	I ordered a Mi A Lite and have to say I love all of the .
pos	0.296	I ordered a Mi A Lite and have to say I love all of the .
compound	0.6249	The price point is great as is the device itself .
neu	0.687	The price point is great as is the device itself .
pos	0.313	The price point is great as is the device itself .
compound	0.4926	Keep up the good work !
neu	0.556	Keep up the good work !
pos	0.444	Keep up the good work !
compound	0.7717	This guy is like Cisco from Flash ... i love it Mine came in last week .
neu	0.66	This guy is like Cisco from Flash ... i love it Mine came in last week .
pos	0.34	This guy is like Cisco from Flash ... i love it Mine came in last week .
compound	0.5709	Really enjoying this phone so far .
neu	0.575	Really enjoying this phone so far .
pos	0.425	Really enjoying this phone so far .
compound	0.7178	Thanks for the it was really helpful .
neu	0.455	Thanks for the it was really helpful .
pos	0.545	Thanks for the it was really helpful .
compound	0.3182	Note pro please .
neu	0.465	Note pro please .
pos	0.535	Note pro please .
neu	1.0	Also compare to f Watching this on my MI A ... Maybe on by Hong .
neu	1.0	how about with stock ?
compound	0.6908	still in love with my A , this brand is crazy good for its price tag so there are universe now .
neg	0.094	still in love with my A , this brand is crazy good for its price tag so there are universe now .
neu	0.627	still in love with my A , this brand is crazy good for its price tag so there are universe now .
pos	0.278	still in love with my A , this brand is crazy good for its price tag so there are universe now .
compound	0.8439	, marvel , notch and He considering 😰😀 and when he unbox anything it is ' Oxygen OS is the best skin on top of android i ' m with you on stock android !
neu	0.733	, marvel , notch and He considering 😰😀 and when he unbox anything it is ' Oxygen OS is the best skin on top of android i ' m with you on stock android !
pos	0.267	, marvel , notch and He considering 😰😀 and when he unbox anything it is ' Oxygen OS is the best skin on top of android i ' m with you on stock android !
compound	0.9549	sup thanks and love your show on phone but could you please do a review on note please Yeah it ' s amazing .
neu	0.431	sup thanks and love your show on phone but could you please do a review on note please Yeah it ' s amazing .
pos	0.569	sup thanks and love your show on phone but could you please do a review on note please Yeah it ' s amazing .
compound	0.7065	I bought one for my nan and it ' s been so amazing .
neu	0.649	I bought one for my nan and it ' s been so amazing .
pos	0.351	I bought one for my nan and it ' s been so amazing .
compound	0.4648	ANY OTHER FAN .. Lew check out the the new .
neu	0.748	ANY OTHER FAN .. Lew check out the the new .
pos	0.252	ANY OTHER FAN .. Lew check out the the new .
compound	0.8921	All their android device are Android ONE some of them are tough fight for the A Just bought one of these today , super , awesome build quality , and buttery smooth , highly recommend this please do a review of Pro M .
neg	0.086	All their android device are Android ONE some of them are tough fight for the A Just bought one of these today , super , awesome build quality , and buttery smooth , highly recommend this please do a review of Pro M .
neu	0.627	All their android device are Android ONE some of them are tough fight for the A Just bought one of these today , super , awesome build quality , and buttery smooth , highly recommend this please do a review of Pro M .
pos	0.287	All their android device are Android ONE some of them are tough fight for the A Just bought one of these today , super , awesome build quality , and buttery smooth , highly recommend this please do a review of Pro M .
neu	1.0	How about ?
neu	1.0	Do you have to have one of those ?
neu	1.0	x for example .
compound	0.4926	Thanks in advance !
neu	0.385	Thanks in advance !
pos	0.615	Thanks in advance !
compound	0.7003	From Watching this Mi A bought my Mi A thanks to your video .. thanks again < what do you recon on from ?
neu	0.756	From Watching this Mi A bought my Mi A thanks to your video .. thanks again < what do you recon on from ?
pos	0.244	From Watching this Mi A bought my Mi A thanks to your video .. thanks again < what do you recon on from ?
compound	0.2263	Anyone know if this phone is compatible with Straight Talk ?
neu	0.826	Anyone know if this phone is compatible with Straight Talk ?
pos	0.174	Anyone know if this phone is compatible with Straight Talk ?
compound	0.4019	I appreciate any .
neu	0.27	I appreciate any .
pos	0.73	I appreciate any .
compound	0.4404	Thanks .
pos	1.0	Thanks .
compound	0.7269	It ' s amazing , please buy it .
neu	0.33	It ' s amazing , please buy it .
pos	0.67	It ' s amazing , please buy it .
compound	0.659	It ' s absolutely great .
neu	0.313	It ' s absolutely great .
pos	0.687	It ' s absolutely great .
compound	0.5719	The rear dual camera is + not a + switch to K that will be something : D Conscious late unknown perfect leap arrive off crowd scholar .
neu	0.844	The rear dual camera is + not a + switch to K that will be something : D Conscious late unknown perfect leap arrive off crowd scholar .
pos	0.156	The rear dual camera is + not a + switch to K that will be something : D Conscious late unknown perfect leap arrive off crowd scholar .
compound	0.7964	Do a on your choice of best budget better camera with more or less same level specs ?
neu	0.664	Do a on your choice of best budget better camera with more or less same level specs ?
pos	0.336	Do a on your choice of best budget better camera with more or less same level specs ?
neu	1.0	try do a video on Note .
compound	0.5994	I might get this phone because its the only one out now that DOES N ' T HAVE A NOTCH Dear Unbox Therapy please do an unbox therapy on mi mix ..
neu	0.836	I might get this phone because its the only one out now that DOES N ' T HAVE A NOTCH Dear Unbox Therapy please do an unbox therapy on mi mix ..
pos	0.164	I might get this phone because its the only one out now that DOES N ' T HAVE A NOTCH Dear Unbox Therapy please do an unbox therapy on mi mix ..
compound	0.4927	It is really good .
neu	0.484	It is really good .
pos	0.516	It is really good .
compound	-0.4019	About the headphone jack problem : let ' s be real , who to music while charging anyways .
neg	0.172	About the headphone jack problem : let ' s be real , who to music while charging anyways .
neu	0.828	About the headphone jack problem : let ' s be real , who to music while charging anyways .
neu	1.0	Watching this on the Mi A RAM Edition 💙 : How do you remove the bar ?
neu	1.0	How do you the so that they wont have that white background ?
neu	1.0	i would buy the and install a custom on it does not carry .
neu	1.0	What is a comparable phone that does ?
compound	0.4404	Thanks my next phone will probably be a , or .
neu	0.707	Thanks my next phone will probably be a , or .
pos	0.293	Thanks my next phone will probably be a , or .
compound	0.9033	try note ai watched this and bought mi a not disappointed at all 👍 thank you Love , insanely cheap and good .
neu	0.583	try note ai watched this and bought mi a not disappointed at all 👍 thank you Love , insanely cheap and good .
pos	0.417	try note ai watched this and bought mi a not disappointed at all 👍 thank you Love , insanely cheap and good .
neu	1.0	I it and finally it today ...
compound	0.0516	This is insane it ' s funny that the more budget A lite a notch on it If I buy this I ' have to buy a M C type cord because i only have old on this price .
neg	0.085	This is insane it ' s funny that the more budget A lite a notch on it If I buy this I ' have to buy a M C type cord because i only have old on this price .
neu	0.823	This is insane it ' s funny that the more budget A lite a notch on it If I buy this I ' have to buy a M C type cord because i only have old on this price .
pos	0.092	This is insane it ' s funny that the more budget A lite a notch on it If I buy this I ' have to buy a M C type cord because i only have old on this price .
neu	1.0	and mi a are even % more expensive the for quality and affordable .
compound	0.4404	Thanks you us how the other are .
neu	0.674	Thanks you us how the other are .
pos	0.326	Thanks you us how the other are .
compound	0.3182	Can you please do a video on your music ?
neu	0.753	Can you please do a video on your music ?
pos	0.247	Can you please do a video on your music ?
compound	0.6588	It ' s awesome !
neu	0.185	It ' s awesome !
pos	0.815	It ' s awesome !
neu	1.0	I think u mean we have the @ : 🤔🤔 right Lewis ?
neu	1.0	would this work on band ?
compound	0.765	Easily the best phone for that price .
neu	0.431	Easily the best phone for that price .
pos	0.569	Easily the best phone for that price .
neu	1.0	why you need mi a when you can get poco for similar price ?
compound	0.5106	Watching in a Mi A Lite Back are + not + can you make differentiate between pro and mi a ... Can a lite run can you reply me I ' m a big fun can you do mi a lite next ..
neu	0.904	Watching in a Mi A Lite Back are + not + can you make differentiate between pro and mi a ... Can a lite run can you reply me I ' m a big fun can you do mi a lite next ..
pos	0.096	Watching in a Mi A Lite Back are + not + can you make differentiate between pro and mi a ... Can a lite run can you reply me I ' m a big fun can you do mi a lite next ..
compound	0.4389	I love my But with this !
neu	0.58	I love my But with this !
pos	0.42	I love my But with this !
neu	1.0	Common misconception , but My .
neu	1.0	My Mix , My ...
neu	1.0	It ' s not a .
compound	0.6249	Great Lew , all your are consistent , so people can compare .👍 For that .
neu	0.745	Great Lew , all your are consistent , so people can compare .👍 For that .
pos	0.255	Great Lew , all your are consistent , so people can compare .👍 For that .
compound	0.6486	are stock or Android one and have good value too .
neu	0.602	are stock or Android one and have good value too .
pos	0.398	are stock or Android one and have good value too .
compound	-0.12	Hei it ' s Rear cam : not : Try pro M Love your video format and style , thanks 👌🏼👌🏼👌🏼 can you make a video for `` note pro '' too : P Does compatible with G ?
neg	0.104	Hei it ' s Rear cam : not : Try pro M Love your video format and style , thanks 👌🏼👌🏼👌🏼 can you make a video for `` note pro '' too : P Does compatible with G ?
neu	0.806	Hei it ' s Rear cam : not : Try pro M Love your video format and style , thanks 👌🏼👌🏼👌🏼 can you make a video for `` note pro '' too : P Does compatible with G ?
pos	0.09	Hei it ' s Rear cam : not : Try pro M Love your video format and style , thanks 👌🏼👌🏼👌🏼 can you make a video for `` note pro '' too : P Does compatible with G ?
compound	0.6369	plus and note pro , which is the best buy It a instead of a headphone jack , so pass .
neu	0.781	plus and note pro , which is the best buy It a instead of a headphone jack , so pass .
pos	0.219	plus and note pro , which is the best buy It a instead of a headphone jack , so pass .
neu	1.0	Will the lite addition have an AM / receiver not streaming ?
neu	1.0	You should make a Review about this phone and about this battery life !
compound	0.5411	pro Honor x and Do n ' t believe the !
